Product ID,Product SKU,Product Name,Parent ID,Parent Name,Product Status,MRP
17570,HPCHPCCOL00000044,Colgate Kids Power Spiderman,PHPCCOL0360,Colgate Kids Power Spiderman,active,79
17569,HPCHPCCOL00000043,Colgate Super Flexi medium SINGLE toothbrush,PHPCCOL0362,Colgate Super Flexi medium SINGLE toothbrush,active,20
17568,HPCHPCCOL00000042,Colgate Zigzag Black Charcoal,PHPCCOL0364,Colgate Zig Zag Charcoal Toothbrush 1N,active,30
17567,SNGSNGLOC00000807,Loose Sahi Dinner Dubar,PSNGLOC2586,Sahi Dinner Savera Rice Dubar 25 kg,active,36
17566,SNGSNGLOC00000806,Ramdev Strong Hing 50Gm,PSNGRAJ0118,Rajdhani Coriander Powder 200 gm,active,125
17565,SNGSNGLOC00000805,Loose Dilli City Dubar,PSNGLOC2588,Dilly City Basmati Rice Tibar (4) 25 kg,active,55
17564,SNGSNGLOC00000804,Loose Dilli City Tibar,PSNGLOC2590,Dilly City Basmati Rice Tibar (3) 25 kg,active,65
17563,HPCHPCCOL00000041,Colgate Zig Zag soft SINGLE Toothbrush,PHPCCOL0366,Colgate Zig Zag Medium  SINGLE Toothbrush,active,25
17562,HPCHPCCOL00000040,Colgate Toothpaste Active Salt 200+100 gm,PHPCCOL0368,"Colgate Active Salt Tp,300 gm",active,132
17561,HNKHNKSRF00000017,Surf Excel Matic Liquid 1Lt,PHNKHUL0226,SURF EXCEL MATIC LIQUID 1LT,active,235
17560,HPCHPCDBR00000039,Dabur Sarso Amla Badam Hair Oil 500Ml,PHRODBR0006,Dabur Amla Sarso Hair Oil 500Ml,active,150
17559,PSRIPCGDN00000004,Godrej Good Knight Power Active+ Lavender 45 Ml,PPSRGOD0002,Good knight Activ+ Liquid Refill 45N - Lavender,active,72
17554,PROPROHOM00000006,"Dabur Hommade Ginger Garlic Past, 200 gm",PPRODBR0078,"Dabur Hommade Ginger Garlic Past, 200 gm",active,48
17553,MCGBNCMAR00000001,Wrigley Orbitwhite 140g,PMCGMAR0004,"Orbit Sweetmint Gum, 4.4 gm",active,5
17551,BICPROBRI00000064,Britannia Tiger Glucose  Biscuits 124 gm,PBICBRI0014,Britannia Tiger Glucose  Biscuits 136 gm,active,10
17549,ALFSNGAAS00000004,"Aashirvaad Multigrain Atta, 5 Kg",PALFITC0004,"Aashirvaad Multigrain Atta, 5 Kg",active,295
17546,NKMPROBIK00000047,Bikano Bikaneri Bhujia 1 kg,PDGPBIK0002,Bikano Bikaneri Bhujia 1 kg,active,237
17545,NKMPROBIK00000046,Bikano Bikaneri Bhujia 200g + 50g,PDGPBIK0004,Bikano Bikaneri Bhujia 200g + 50g,active,48
17539,PKPPROTOP00000113,Tops Gold Mixed Pickle 200 gm,PPKPTOP0030,Tops Gold Mixed Pickle 200 gm,active,63
17538,PKPPROTOP00000112,Tops Gold Lime Pickle 375 Gm,PPKPTOP0032,TOPS PICKLE GOLD LIME JR 375gm,active,110
17536,PROPROTOP00000047,TOPS JAM PINEAPPLE BT 500g,PPROTOP0306,TOPS JAM PINEAPPLE BT 500g,active,150
17535,PROPROTOP00000046,Tops Orange Marmalade 500Gm,PPROTOP0308,TOPS JAM ORANGE MARMAALADE BT 500g,active,150
17532,DAIDAIKWL00000003,Kwality Walls Vanilla Tub 700 ml,PDAIKWL0024,Kwality Walls Vanilla Tub 700 ml,active,135
17531,DAIDAIKWL00000002,Kwality Butterscotch Tub 700 ml,PDAIKWL0026,Kwality Butterscotch Tub 700 ml,active,159
17530,THBDCRCOL00000033,Colgate Zigzag Tooth Brush 2N+1,PTHBCOL0016,Colgate Zigzag Tooth Brush 2N+1,active,60
17529,CNPPRODOR00000004,Doritos Sweet Chilli 140 gm,PCNPPCO0004,Doritos Sweet Chilli 140 gm,active,65
17525,PROPROBIK00000046,BIKANER BHUJIA 350GM,PPROBIK0370,BIKANER BHUJIA 350GM,active,78
17524,PROPROLOC00000300,GOLDEN TIMES MACRARONI 1KG,PPROLOC0802,GOLDEN TIMES MACRARONI 1KG,active,110
17523,HPCHPCAXE00000014,AXE SIGNATURE ROGUE 100ML,PHPCHUL1456,AXE SIGNATURE ROGUE 100ML,active,190
17522,HPCHPCCLI00000008,CLINIC PLUS STRONG AND DONG 340 ML FREE PONDS TALK 50 GM,PHPCHUL1458,CLINIC PLUS STRONG AND DONG 340 ML FREE PONDS TALK 50 GM,active,159
17521,HNKHNKSRF00000016,SURF EXCEL EASY WASH 500GM,PHNKHUL0208,SURF EXCEL EASY WASH 500GM,active,48
