Product ID,Product SKU ID,Match,Product Name,Product Status,MRP,MRP Status,MRP Approval Status,Remarks,MRP
3913,STSSTSUNB00000009,STSSTSUNB00000009,Doms Sharpner,TRUE,NA,NA,NA,Product is Active but price not found,5
3925,HMIHNKHAR00000002,HMIHNKHAR00000002,HARI DARSAN KUMKUM ROLL 10G,TRUE,NA,NA,NA,Product is Active but price not found,5
4215,CTLBNCALP00000001,CTLBNCALP00000001,Alpenlibe Rich Caramel,TRUE,NA,NA,NA,Product is Active but price not found,5
4218,CTLBNCFRE00000001,CTLBNCFRE00000001,Centerfresh Gum 3layer Strawberry,TRUE,NA,NA,NA,Product is Active but price not found,5
4221,CTLBNCALP00000003,CTLBNCALP00000003,ALPENLIEBE POP ORANGE FLAVOUR 8G,TRUE,NA,NA,NA,Product is Active but price not found,5
18267,PROPROLOC00000309,PROPROLOC00000309,KROWN BUTTERLICIOUS BUTTER COOKIES 42GM,TRUE,NA,NA,NA,Product is Active but price not found,5
5949,STSSTSLOC00000020,STSSTSLOC00000020,Tim Tim Balloons,TRUE,NA,NA,NA,Product is Active but price not found,5
4992,CTLBNCCHP00000002,CTLBNCCHP00000002,Chupa Chup Bubble Gum Cola Lollipop 12 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
4993,CTLBNCCHP00000003,CTLBNCCHP00000003,Chupa Chups Bubble gum Sour Green Apple 12 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
4994,CTLBNCCHP00000004,CTLBNCCHP00000004,Chupa Chups Cola 12 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
4995,CTLBNCCHP00000005,CTLBNCCHP00000005,Chupa Chups Sour Belt Cola Flavour 10 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
4996,CTLBNCCHP00000006,CTLBNCCHP00000006,Chupa Chups Sour Belt Raw Mango Flavour 10 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
4997,CTLBNCCHP00000007,CTLBNCCHP00000007,Chupa Chups Sour Belt Strawberry Flavour 10 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5002,BICPROFNF00000001,BICPROFNF00000001,Funfeast Orange Biscuit 42gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5003,BICPROFNT00000001,BICPROFNT00000001,Funtreat Chocolate Biscuit 42 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5005,BICPROFNT00000003,BICPROFNT00000003,Funtreat Elaichi Biscuit 42 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5015,CTLBNCJOL00000001,CTLBNCJOL00000001,Jolly Rancher Lollipops Green Apple Flavoured 10.5 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5016,CTLBNCJOL00000002,CTLBNCJOL00000002,Jolly Rancher Lollipops Mango Flavoured 10.5 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5089,TNCBNCTDY00000005,TNCBNCTDY00000005,Today Tea Premium Mrp 5 New Pack,TRUE,NA,NA,NA,Product is Active but price not found,5
5102,CHCCNFMUN00000001,CHCCNFMUN00000001,Nestle Munch Chocolate 30% Extra 13.2 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5129,BICPROANL00000002,BICPROANL00000002,Anmol Butter Bake 45 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
5191,CHCCNFFRU00000001,CHCCNFFRU00000001,Center Fruit Chatpata Sparkles Chewing Gum 9.6 gm,TRUE,NA,NA,NA,Product is Active but price not found,5
